     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     347   1.600100E+01   1.919000E+00
     348   1.925800E+01   1.932000E+00
     349   1.560900E+01   1.944000E+00
     350   1.829600E+01   1.957000E+00
     351   1.833000E+01   1.969000E+00
     352   1.871500E+01   1.981000E+00
     353   1.598900E+01   1.993000E+00
     354   2.148600E+01   2.005000E+00
     355   1.868400E+01   2.017000E+00
     356   2.155600E+01   2.028000E+00
     357   1.862000E+01   2.039000E+00
     358   2.063000E+01   2.050000E+00
     359   1.831500E+01   2.061000E+00
     360   1.590600E+01   2.071000E+00
     361   1.894100E+01   2.082000E+00
     362   1.808200E+01   2.092000E+00
     363   2.146400E+01   2.102000E+00
     364   1.850000E+01   2.111000E+00
     365   2.216900E+01   2.121000E+00
     366   1.722300E+01   2.130000E+00
     367   1.430400E+01   2.139000E+00
     368   2.121600E+01   2.148000E+00
     369   1.714500E+01   2.156000E+00
     370   2.351300E+01   2.165000E+00
     371   2.102800E+01   2.173000E+00
     372   1.784200E+01   2.180000E+00
     373   2.073800E+01   2.188000E+00
     374   2.365000E+01   2.195000E+00
     375   2.228800E+01   2.202000E+00
     376   2.093000E+01   2.209000E+00
     377   2.234100E+01   2.216000E+00
     378   1.703200E+01   2.222000E+00
     379   2.190200E+01   2.228000E+00
     380   2.198600E+01   2.234000E+00
     381   2.659200E+01   2.239000E+00
     382   1.974000E+01   2.244000E+00
     383   1.974500E+01   2.249000E+00
     384   2.248800E+01   2.254000E+00
     385   1.757200E+01   2.259000E+00
     386   2.052200E+01   2.263000E+00
     387   2.426100E+01   2.267000E+00
     388   2.017200E+01   2.270000E+00
     389   2.109500E+01   2.274000E+00
     390   2.132300E+01   2.277000E+00
     391   2.308700E+01   2.280000E+00
     392   2.364500E+01   2.283000E+00
     393   2.392100E+01   2.285000E+00
     394   2.308900E+01   2.287000E+00
     395   2.243300E+01   2.289000E+00
     396   2.306400E+01   2.291000E+00
     397   2.142700E+01   2.292000E+00
     398   2.346200E+01   2.293000E+00
     399   1.967400E+01   2.294000E+00
     400   1.964400E+01   2.295000E+00
     401   2.189700E+01   2.295000E+00
     402   1.990300E+01   2.295000E+00
     403   2.178600E+01   2.295000E+00
     404   1.894200E+01   2.295000E+00
     405   2.367100E+01   2.294000E+00
     406   1.743800E+01   2.293000E+00
     407   2.000200E+01   2.292000E+00
     408   2.536000E+01   2.291000E+00
     409   2.460700E+01   2.289000E+00
     410   1.970400E+01   2.288000E+00
     411   2.682900E+01   2.286000E+00
     412   1.752000E+01   2.283000E+00
     413   2.109700E+01   2.281000E+00
     414   1.770200E+01   2.278000E+00
     415   1.768500E+01   2.275000E+00
     416   2.120200E+01   2.272000E+00
     417   1.888300E+01   2.269000E+00
     418   1.740000E+01   2.266000E+00
     419   1.800800E+01   2.262000E+00
     420   1.909400E+01   2.258000E+00
     421   2.056200E+01   2.254000E+00
     422   2.396600E+01   2.250000E+00
     423   1.915600E+01   2.246000E+00
     424   1.803300E+01   2.241000E+00
     425   1.393600E+01   2.236000E+00
     426   1.959700E+01   2.231000E+00
