     ELL          D_ELL            ERR
       I              E              E
               muKcmb^2       muKcmb^2
     469  -8.372600E+01   1.165900E+01
     470  -8.252500E+01   1.165000E+01
     471  -7.884800E+01   1.164100E+01
     472  -6.148900E+01   1.163100E+01
     473  -6.426200E+01   1.162100E+01
     474  -6.874700E+01   1.161100E+01
     475  -7.461600E+01   1.160000E+01
     476  -9.149900E+01   1.158900E+01
     477  -7.583300E+01   1.157700E+01
     478  -7.753400E+01   1.156600E+01
     479  -6.811700E+01   1.155400E+01
     480  -8.563600E+01   1.154200E+01
     481  -7.202600E+01   1.153000E+01
     482  -5.920500E+01   1.151700E+01
     483  -6.500100E+01   1.150500E+01
     484  -7.681300E+01   1.149200E+01
     485  -6.003300E+01   1.147900E+01
     486  -9.382600E+01   1.146700E+01
     487  -6.027900E+01   1.145400E+01
     488  -5.577600E+01   1.144100E+01
     489  -6.231300E+01   1.142800E+01
     490  -6.927900E+01   1.141500E+01
     491  -7.407500E+01   1.140300E+01
     492  -8.161600E+01   1.139000E+01
     493  -8.284500E+01   1.137800E+01
     494  -8.416700E+01   1.136600E+01
     495  -6.386200E+01   1.135400E+01
     496  -5.292500E+01   1.134300E+01
     497  -8.128500E+01   1.133100E+01
     498  -6.472400E+01   1.132100E+01
     499  -4.887300E+01   1.131000E+01
     500  -6.721200E+01   1.130000E+01
     501  -5.881800E+01   1.129000E+01
     502  -5.490600E+01   1.128100E+01
     503  -5.537000E+01   1.126600E+01
     504  -4.773000E+01   1.125800E+01
     505  -3.728900E+01   1.069700E+01
     506  -4.117100E+01   1.068400E+01
     507  -5.123700E+01   1.066500E+01
     508  -5.715100E+01   1.065400E+01
     509  -4.835100E+01   1.064300E+01
     510  -5.125200E+01   1.063400E+01
     511  -4.106200E+01   1.062500E+01
     512  -4.469800E+01   1.061700E+01
     513  -4.106400E+01   1.060900E+01
     514  -5.147600E+01   1.060300E+01
     515  -5.826400E+01   1.059800E+01
     516  -5.218200E+01   1.059400E+01
     517  -3.406400E+01   1.059100E+01
     518  -5.032900E+01   1.058800E+01
     519  -1.504700E+01   1.058700E+01
     520  -4.119300E+01   1.058700E+01
     521  -3.479500E+01   1.058800E+01
     522  -4.814300E+01   1.059000E+01
     523  -3.584300E+01   1.059300E+01
     524  -1.539500E+01   1.059700E+01
     525  -1.958700E+01   1.060200E+01
     526  -1.392900E+01   1.060700E+01
     527  -4.226800E+01   1.061500E+01
     528  -2.978700E+01   1.062400E+01
     529  -1.667800E+01   1.063300E+01
     530  -3.326600E+01   1.064400E+01
     531  -7.628000E+00   1.065600E+01
     532  -2.730900E+01   1.066900E+01
     533  -2.899800E+01   1.068300E+01
     534  -2.267000E+01   1.069800E+01
     535  -4.141800E+01   1.071500E+01
     536  -5.209000E+00   1.073200E+01
     537  -6.176000E+00   1.075000E+01
     538  -1.301900E+01   1.077000E+01
     539  -1.764000E+01   1.079000E+01
     540  -1.001100E+01   1.081000E+01
     541   8.499000E+00   1.083200E+01
     542  -1.775500E+01   1.085600E+01
     543   1.156500E+01   1.088000E+01
     544   6.298000E+00   1.090500E+01
     545   1.851000E+00   1.093100E+01
     546  -1.653900E+01   1.095800E+01
     547   4.211000E+00   1.098600E+01
     548  -1.475000E+00   1.101400E+01
     549  -6.354000E+00   1.104300E+01
     550  -6.987000E+00   1.107300E+01
     551  -5.790000E-01   1.110400E+01
     552   4.499000E+00   1.113500E+01
     553  -8.747000E+00   1.116700E+01
     554  -1.106500E+01   1.119900E+01
     555   4.355000E+00   1.123200E+01
     556   4.271100E+01   1.126600E+01
     557   1.203400E+01   1.130000E+01
     558   4.169000E+00   1.133400E+01
     559  -4.084000E+00   1.136900E+01
     560   4.521000E+00   1.140400E+01
     561   9.963000E+00   1.144000E+01
     562   2.126600E+01   1.147600E+01
     563   1.090700E+01   1.151200E+01
     564   2.863400E+01   1.154900E+01
     565  -1.575300E+01   1.158500E+01
     566   2.640700E+01   1.162200E+01
     567   2.319900E+01   1.165900E+01
     568   1.389300E+01   1.169600E+01
     569   5.519000E+00   1.173300E+01
     570   1.494300E+01   1.177200E+01
     571   1.811300E+01   1.180900E+01
     572   3.391000E+01   1.184600E+01
     573   3.167900E+01   1.188300E+01
     574   2.107300E+01   1.192000E+01
     575   2.539500E+01   1.195700E+01
     576   1.174700E+01   1.199400E+01
     577   2.212800E+01   1.203000E+01
     578   2.336400E+01   1.206700E+01
     579   1.128900E+01   1.210300E+01
     580   2.833900E+01   1.213900E+01
     581   3.334800E+01   1.217400E+01
     582   3.174800E+01   1.221000E+01
     583   2.247000E+01   1.224600E+01
     584   3.052000E+01   1.228100E+01
     585   3.482500E+01   1.231500E+01
     586   6.071000E+00   1.234900E+01
     587   3.798500E+01   1.238300E+01
     588   2.902800E+01   1.241600E+01
     589   3.614400E+01   1.244800E+01
     590   3.318800E+01   1.248000E+01
     591   2.401400E+01   1.251200E+01
     592   1.401500E+01   1.254300E+01
     593   2.982100E+01   1.257400E+01
     594   3.309100E+01   1.260500E+01
     595   4.585300E+01   1.263400E+01
     596   3.365500E+01   1.266400E+01
     597   1.259200E+01   1.269300E+01
     598   1.669800E+01   1.272100E+01
     599   3.624400E+01   1.274900E+01
     600   5.971000E+00   1.277600E+01
     601   3.940000E+01   1.280300E+01
     602   5.083100E+01   1.282900E+01
     603   1.336000E+01   1.285400E+01
     604   2.445400E+01   1.287900E+01
